город;	школа;
 Москва;	школа 179;
	
	
	
 Санкт-Петербург;	30;
	1329;
	
 Москва;	школа 654;
 Москва;	лицей 1;
	
	1511;
	
 Санкт-Петербург;г. Санкт- Петербург;	лицей 30;
 Санкт-Петербург;	ФТШ;
 Казань;	
 СПб;Санкт-Петербург;	610;ФТШ;
 Санкт-Петербург;	393;
 Хвалынск; Хвалынска;	школа 3;
 Санкт-Петербург;	292;
 Москва;	СУНЦ МГУ;
	школа 1288;
 Подольск;	19;
	
 Обнинск ;	гимназия;Гимназия;
 Курчатовская школа;	1189;
 Астана (Целиноград);	Назарбаев Интеллектуальная Школа физико-математического направления;
	
	
	
	
	
 Санкт-Петербург;	лицей 239;
 Ярославль;Ярославль ;	школа 33;
	
	
 Краснодар;	6;
	
 Уфа;	93;
 Санкт-Петербург;	школа 605;
 Санкт-Петербург;	30;
	
 Москва;	СУНЦ МГУ;
 853;	
	
 Санкт-Петербург;	лицей 366;
 Санкт-Петербург;	239;
 Белебей;Белебея;	школа 15;
	
	
	
	
 Элиста;	"Элистинский лицей";
	
	
 Элиста ;	лицей;
	
	
 Москва ;	СУНЦ МГУ;
	
	школа 553;
	1534;
	
	
 Санкт-Петербург;	лицей 95;
	
	
 СУНЦ МГУ;	
	
 Сыктывкар;	КРФМЛИ;
	
 Москва;	54;
	школа 179;
	
	
 г. Москва;Москва ;	гимназия 1543;
	
	
	
	
 Москва;	1517;
 Волгоград;	лицей 2;
	
 г. Москва;	Лицей НИУ ВШЭ;
	
	лицей 1568;
	
	
	
 Санкт-Петербург;	ЕНЛ СПбГПУ;
 Минск;	
	
 г. Севастополь;	школа 6;
 Королёв ;	ЛНИП;
	2;
 Ставрополь;	гимназия 24;
 Санкт-Петербург;	лицей 393;
 Симферополь;	
 Ставрополь;	школа 6;
 Москва ;	1543;НИУ ВШЭ;
	
 Санкт-Петербург;	лицей 30;
	
 г. Москва;	школа гимназия 1530;
	
	
	2007;
 Москва;	СУНЦ МГУ;
	
	
 Санкт-Петербург;Санкт-Петербург ;	школа 89;Лицей «Физико-техническая школа»;Лицей "Физико-техническая школа";
 Иркутск;	36;
 Кингисепп;	школа 3;
	
	
 София;	
 п. Львовский;	лицей 1;
 Великий Новгород ;	2;
 Чебоксары;	лицей 2;
	
	
	
 Санкт-Петербург;	школа 51;
 Раменское;	2;
	
 Королев;	ЛНИП;
	
 1543;	
 Санкт-Петербург;	школа 51;
 171;Москва;	школа 54;
 Москва;	лицей 1553;
	
 Саратов;	лицей 1;
 Новороссийск;	СОШ "Личность";
	гимназия 1543;
	
	лицей 1535;
	
	
	
 Санкт-Петербург;	лицей 533;
 Москва;	школа 179;
	
 г. Минск;	
 Белгород;ский инженерный юношеский лицей-интернат [Белгород];	Белгородский инженерный юношеский лицей-интернат [Белгород];
 Черноголовка;	школа 82;
	
	
 Магнитогорск; Магнитогорска;	школа 5;
	
Белгородский инженерный юношеский лицей-интернат;	Белгородский инженерный юношеский лицей-интернат;
	
	
 Старый Оскол;	школа 27;
Воронеж;	Воронеж;
 Санкт-Петербург;	239;
 Улан-Удэ;	29;
 Зеленогорск;	лицей 174;
 Екатеринбург;	гимназия 9;
	
	
	
Санкт-Петербург;	Кадетский пожарно-спасательный корпус при Санкт-Петербургском университете ГПС МЧС РФ;
	
 Санкт-Петербург;	446;
 Москва;	лицей 1511;
	
	
 Уфа;	гимназия 93;
	
	
 Москва;	СУНЦ МГУ;
 Эрдэнэт;	КСОШ;
 Обнинск;	Гимназия;
	
	
 Санкт-Петербург;	школа 521;
 Магнитогорск;	Лицей при МаГУ;
 Балаково; Саратов;	гимназия 1;
 СПб;Санкт-Петербург;	
	
	
 Новосибирск;	школа 2;
	
	
 57;	
	
 Москва;	152;
	
	лицей 1511;
	
	
 Москва;	СУНЦ МГУ;
	
 Москва;	гимназия 1514;
	
	
	
	57;
	
	
	
 Россоны;	Россонская средняя школа им.П.М.Машерова;
 Санкт-Петербург;	лицей 239;
	
	
	
 СПб;	
	
 Нижний Новгород;	школа 103;
 Северодвинск;	17;
 Нижний Новгород; г. Нижний Новгород;	лицей 165;
	57;
	
	
	
	лицей 1581;
	
	
	
	
 Белгород;	
Москва ;	315;
 Саратов;	лицей 1;
	
 Москва;	гимназия 1514;
 Санкт-Петербург;СПб;	239;470;
 179;	
 Химки;	гимназия 16;
	2007;
	школа 2007;
 Жуковский;	
	
