город	школа
 Липецк;	 МБОУ гимназия №64 имени В. А. Котельникова;МБОУ гимназия ? 64 города Липецка имени В.А. Котельникова;МБОУ гимназия № 64 им. В.А. Котельникова;
 Москва;	 ГБОУ СОШ №2086;
 2;	 
 Димитровград;	 МПЛ;
 	 
 	 ГБОУ гимназия № 1584;
 Лепель;	 гимназия им. И. М. Ерашова;
 	 
 Москва;	 870;
 	 
 Санкт-Петербург;	 
 Москва;	 1537;
 Москва;	 1517;
 	 54;ГБОУ СОШ № 54;
 	 
 1553;	 
 Бургас;	 
 	 
 Самара;	 МОУ ЛАП №135;ЛАП 135, Самара;
 Интеллектуал;	 Интеллектуал;
 	 1434;
 г. Москва;	 ГБОУ ЦО №57;
 	 
 	 
 Санкт-Петербург;	 ГБОУ Лицей №344;ФМЛ №30;
Саранск	ГБНОУ РМ «Республиканский лицей для одарённых детей»
 	 
 	 
 	 
 	 
 Глазов;	 МБОУ Физико-математический лицей;
 Самара;	 Самарский медико-технический лицей;
 	 
 Ижевск;	 Экономико-Математический Лицей №29;
 Ангарск;	 школа №10;
 	 
 Октябрьский;	 МБОУ Гимназия №2;
 1018;	 
 	 
 	 
 	 
 Тула;	 54;
 	 
 Тамбов;	 МАОУ "Лицей №14 имени Заслуженного учителя Российской Федерации А.М. Кузьмина";
 Магнитогорск;	 МАОУ Многопрофильный Лицей №1;
 Санкт-Петербург;	 ГБОУ СОШ №564;
Обнинск;	лицей ФТШ;
 	 
 	 
 	 
 Сыктывкар ;	    КРФМЛИ;
 	 
 	 618;
 Долгопрудный;	 АОУ лицей № 5;
 	 
 	 ГБОУ гимназия № 1514;
 	 
Белгород	ОГАОУ Белгородский инженерный юношеский лицей-интернат
 Архангельск ;	 3;
 Тольятти;	 МБУ лицей №57;
 	 
 Москва;	 СОШ 179 МИОО;
 Калуга;	 24;
 	 
 	 
 Москва;	 54;
 Краснодар;	 МБОУ СОШ №20;МБОУ Лицей № 4;
 2007;	 Физматшкола 2007, Москва;
 2;Москва ;	 2;Вторая школа;
 	 
 	 
 г. Иваново;	 МБОУ общеобразовательный лицей № 33;
 	 
 	 
 Москва;	 198;
 	 
 Москва;	 ГБОУ Физико-математический лицей №1568;Лицей №1568;ГБОУ лицей ?1568;
 Москва ;	    СУНЦ МГУ;
 	 СУНЦ;
 	 
 	 
 Березники;	 МАОУ СОШ с УИОП №3;
 Фурманов;	 МОУ СОШ №1;
 	 
 Строитель;	 МОУ СОШ №3 с УИОП г.Строитель;
 	 
 	 
 Самара;	 МБОУ ЛФПГ;
 	 гимназия 2 г. Раменское;
 	 лицей НИУ ВШЭ;
 Щелково;	 МБОУ Щёлковская гимназия;
 Озерск;	 МБОУ "Лицей № 39";
 	 
 Санкт-Петербург;	 лицей 384;
 1580;	 
 Долгопрудный;	 лицей № 11;
 	 
 	 
 	 
 	 
 Москва ;	    СУНЦ МГУ;
 	 
 Санкт-Петербург;	 ГБОУ СОШ №18;
 	 
